Code_INEGI,Municipio,Total,Disponen_energía_eléctrica,No_disponen_energía_eléctrica,disponen_energía_eléctrica_No_esp,Disponen_agua_entubada,No_disponen_agua_entubada,disponen_agua_entubada_no_esp,Disponen_drenaje,No_disponen_drenaje,disponen_drenaje_no_esp
20 012,Candelaria Loxicha,2446,2231,215,,892,4,,873,23,
20 247,Capulálpam de Méndez,418,418,,,8382,185,1,8452,115,1
20 025,Chahuites,3262,3230,24,8,1008,204,,466,746,
20 026,Chalcatongo de Hidalgo,2551,2506,45,,1618,39,1,520,1137,1
20 027,Chiquihuitlán de Benito Juárez,744,724,20,,915,144,,624,435,
20 013,Ciénega de Zimatlán,896,888,8,,223,14,,216,21,
20 014,Ciudad Ixtepec,8568,8478,89,1,849,4,,654,199,
20 015,Coatecas Altas,1212,1192,20,,1045,10,,1005,50,
20 016,Coicoyán de las Flores,1658,1529,128,1,3942,157,,3913,186,
20 018,Concepción Buenavista,237,228,9,,280,16,,221,75,
20 019,Concepción Pápalo,853,849,4,,4361,2613,1,5465,1508,2
20 020,Constancia del Rosario,1055,1023,32,,987,32,,740,279,
20 021,Cosolapa,4099,4043,56,,2504,750,8,3187,67,8
20 022,Cosoltepec,296,288,8,,2276,275,,1489,1062,
20 023,Cuilápam de Guerrero,6975,6630,344,1,692,52,,560,184,
20 024,Cuyamecalco Villa de Zaragoza,1019,994,25,,5490,580,,4906,1164,
20 010,El Barrio de la Soledad,4332,4300,32,,1077,87,,466,698,
20 030,El Espinal,2566,2532,34,,2502,64,,2531,35,
20 029,Eloxochitlán de Flores Magón,1164,1123,41,,2014,16,1,1489,541,1
20 032,Fresnillo de Trujano,319,315,4,,259,60,,287,32,
20 034,Guadalupe de Ramírez,387,386,1,,757,14,,723,48,
20 033,Guadalupe Etla,771,764,7,,355,32,,364,23,
20 035,Guelatao de Juárez,165,165,,,165,,,162,3,
20 036,Guevea de Humboldt,1521,1480,41,,1507,14,,1396,125,
20 028,Heroica Ciudad de Ejutla de Crespo,6070,5967,103,,1098,32,,935,195,
20 039,Heroica Ciudad de Huajuapan de León,20221,20010,181,30,518,10,,486,42,
20 397,Heroica Ciudad de Tlaxiaco,10514,10362,151,1,18922,1269,30,19824,367,30
20 549,"Heroica Villa Tezoatlán de Segura y Luna, Cuna de la Independencia de Oaxaca",3291,3217,74,,1071,573,,422,1222,
20 040,Huautepec,1644,1548,96,,6553,2210,1,6081,2682,1
20 041,Huautla de Jiménez,8764,8477,286,1,2299,7,,2099,207,
20 065,Ixpantepec Nieves,349,342,7,,27604,776,288,27942,297,429
20 042,Ixtlán de Juárez,2306,2291,15,,12196,586,3,11699,1082,4
20 043,Juchitán de Zaragoza,28668,28080,301,287,2148,36,,1995,189,
20 017,La Compañía,1059,1037,22,,768,160,1,608,320,1
20 069,La Pe,780,772,8,,30,,,25,5,
20 076,La Reforma,887,860,27,,281,2,,20,263,
20 556,La Trinidad Vista Hermosa,91,86,5,,258,57,,80,235,
20 044,Loma Bonita,12785,12639,143,3,869,111,,85,895,
20 045,Magdalena Apasco,2184,2176,8,,490,516,6,570,436,6
20 046,Magdalena Jaltepec,929,914,14,1,1798,86,,1794,90,
20 048,Magdalena Mixtepec,283,274,9,,396,23,,402,17,
20 049,Magdalena Ocotlán,315,311,4,,129,1,,75,55,
20 050,Magdalena Peñasco,980,953,27,,1004,70,,1012,62,
20 051,Magdalena Teitipac,1012,997,9,6,393,16,,363,46,
20 052,Magdalena Tequisistlán,1884,1805,79,,9948,1382,3,10877,451,5
20 053,Magdalena Tlacotepec,419,418,1,,3301,285,1,3039,547,1
20 562,Magdalena Yodocono de Porfirio Díaz,473,470,3,,11852,1148,,10612,2388,
20 054,Magdalena Zahuatlán,130,127,3,,610,34,,420,224,
20 055,Mariscala de Juárez,1074,1068,6,,629,170,,481,318,
20 056,Mártires de Tacubaya,409,403,6,,155,,,153,2,
20 057,Matías Romero Avendaño,11333,11182,148,3,1044,83,,1084,43,
20 058,Mazatlán Villa de Flores,3587,3466,121,,2246,89,,2173,162,
20 037,Mesones Hidalgo,1130,1081,49,,336,13,,331,18,
20 059,Miahuatlán de Porfirio Díaz,13000,12810,190,,1655,67,5,1672,50,5
20 060,Mixistlán de la Reforma,644,607,37,,70150,3560,626,72249,1460,627
20 061,Monjas,799,782,17,,4774,1264,2,4864,1174,2
20 062,Natividad,155,154,1,,726,54,,183,597,
20 063,Nazareno Etla,1127,1116,11,,1510,150,,1536,124,
20 064,Nejapa de Madero,2335,2265,70,,803,54,,442,415,
20 504,Nuevo Zoquiápam,399,398,1,,1504,595,,916,1183,
20 067,Oaxaca de Juárez,74336,73326,384,626,9097,203,,7632,1668,
20 068,Ocotlán de Morelos,6040,5970,68,2,127,1,,123,5,
20 070,Pinotepa de Don Luis,1660,1620,40,,961,7,,942,26,
20 071,Pluma Hidalgo,857,809,48,,877,10,,821,66,
20 073,Putla Villa de Guerrero,9300,9121,179,,924,158,,995,87,
20 075,Reforma de Pineda,968,959,9,,355,23,,310,68,
20 077,Reyes Etla,1082,1069,13,,23259,2208,26,24874,593,26
20 078,Rojas de Cuauhtémoc,378,376,2,,514,19,,504,29,
20 079,Salina Cruz,25493,25247,220,26,542,46,,502,86,
20 080,San Agustín Amatengo,533,522,11,,1143,24,,1112,55,
20 081,San Agustín Atenango,588,571,17,,2843,117,20,2909,51,20
20 082,San Agustín Chayuco,1167,1119,48,,1189,7,,1155,41,
20 083,San Agustín de las Juntas,2980,2946,14,20,5197,223,1,2395,3025,1
20 084,San Agustín Etla,1196,1190,6,,311,18,,66,263,
20 085,San Agustín Loxicha,5421,4999,421,1,907,509,,1358,58,
20 086,San Agustín Tlacotepec,329,315,14,,733,70,,411,392,
20 087,San Agustín Yatareni,1416,1411,5,,606,4,1,567,43,1
20 088,San Andrés Cabecera Nueva,803,763,40,,1106,685,,1731,60,
20 089,San Andrés Dinicuiti,611,609,2,,1791,47,9,1802,36,9
20 090,San Andrés Huaxpaltepec,1791,1752,39,,448,46,,279,215,
20 091,San Andrés Huayápam,1847,1833,5,9,174,7,,39,142,
20 092,San Andrés Ixtlahuaca,494,481,13,,474,112,,38,548,
20 093,San Andrés Lagunas,181,178,3,,936,93,,107,922,
20 094,San Andrés Nuxiño,586,575,11,,218,7,,198,27,
20 095,San Andrés Paxtlán,1029,1005,24,,524,1,,523,2,
20 096,San Andrés Sinaxtla,225,223,2,,1052,68,,131,989,
20 097,San Andrés Solaga,525,522,3,,108,6,,74,40,
20 098,San Andrés Teotilálpam,1120,1077,43,,151,3,,139,15,
20 099,San Andrés Tepetlapa,114,114,,,198,8,,84,122,
20 100,San Andrés Yaá,154,151,3,,1115,309,,1157,267,
20 101,San Andrés Zabache,206,202,4,,735,829,,1391,173,
20 102,San Andrés Zautla,1424,1378,46,,702,5,,100,607,
20 103,San Antonino Castillo Velasco,1564,1561,3,,1898,16,,1257,657,
20 104,San Antonino el Alto,707,681,26,,83,,,80,3,
20 105,San Antonino Monte Verde,1914,1889,25,,5747,421,35,6092,76,35
20 106,San Antonio Acutla,83,83,,,700,105,,572,233,
20 107,San Antonio de la Cal,6203,6143,25,35,328,11,,329,10,
20 108,San Antonio Huitepec,805,773,32,,252,185,,35,402,
20 109,San Antonio Nanahuatípam,339,329,10,,885,230,,893,222,
20 110,San Antonio Sinicahua,437,414,23,,854,17,,834,37,
20 111,San Antonio Tepetlapa,1115,1085,30,,864,3,,468,399,
20 112,San Baltazar Chichicápam,871,855,16,,242,1,,218,25,
20 113,San Baltazar Loxicha,867,858,9,,2604,225,8,2752,77,8
20 114,San Baltazar Yatzachi el Bajo,243,242,1,,1045,84,,668,461,
20 115,San Bartolo Coyotepec,2837,2803,26,8,579,42,,361,260,
20 121,San Bartolo Soyaltepec,206,202,4,,663,7,,586,84,
20 122,San Bartolo Yautepec,203,200,3,,216,2,,150,68,
20 116,San Bartolomé Ayautla,1129,1100,29,,111,3,,109,5,
20 117,San Bartolomé Loxicha,621,579,42,,203,3,,188,18,
20 118,San Bartolomé Quialana,670,658,12,,201,2,,189,14,
20 119,San Bartolomé Yucuañe,218,215,3,,692,67,,499,260,
20 120,San Bartolomé Zoogocho,114,113,1,,4266,810,8,4812,264,8
20 123,San Bernardo Mixtepec,759,742,17,,2563,373,,2294,642,
20 124,San Blas Atempa,5084,4874,202,8,1309,73,,256,1126,
20 125,San Carlos Yautepec,2936,2734,202,,370,24,,25,369,
20 126,San Cristóbal Amatlán,1382,1333,49,,479,,,476,3,
20 127,San Cristóbal Amoltepec,394,360,34,,113,,,111,2,
20 128,San Cristóbal Lachirioag,479,478,1,,1212,395,,1421,186,
20 129,San Cristóbal Suchixtlahuaca,113,113,,,2659,126,1,2595,190,1
20 130,San Dionisio del Mar,1607,1528,79,,288,84,,288,84,
20 131,San Dionisio Ocotepec,2786,2709,76,1,1051,148,2,257,942,2
20 132,San Dionisio Ocotlán,372,364,8,,5264,1643,,3532,3375,
20 133,San Esteban Atatlahuca,1201,1096,103,2,1811,230,,1139,902,
20 134,San Felipe Jalapa de Díaz,6907,6802,105,,2777,131,,407,2501,
20 135,San Felipe Tejalápam,2041,2018,23,,871,30,,379,522,
20 136,San Felipe Usila,2908,2860,48,,163,,,157,6,
20 137,San Francisco Cahuacuá,901,834,67,,551,22,,389,184,
20 138,San Francisco Cajonos,163,163,,,242,1,,85,158,
20 139,San Francisco Chapulapa,573,560,13,,2075,372,,2264,183,
20 140,San Francisco Chindúa,243,241,2,,263,21,,243,41,
20 141,San Francisco del Mar,2447,2142,305,,2853,149,,2857,145,
20 142,San Francisco Huehuetlán,284,282,2,,318,33,,224,127,
20 143,San Francisco Ixhuatán,3002,2956,46,,1248,234,1,1364,118,1
20 144,San Francisco Jaltepetongo,351,336,15,,608,59,,6,661,
20 145,San Francisco Lachigoló,1483,1447,35,1,119,2,,81,40,
20 146,San Francisco Logueche,667,662,5,,474,27,,238,263,
20 147,San Francisco Nuxaño,121,119,2,,497,21,,378,140,
20 148,San Francisco Ozolotepec,501,471,30,,3117,270,,3084,303,
20 149,San Francisco Sola,518,503,15,,101,,,98,3,
20 150,San Francisco Telixtlahuaca,3387,3332,55,,339,179,,380,138,
20 151,San Francisco Teopan,101,99,2,,1248,24,,1175,97,
20 152,San Francisco Tlapancingo,518,500,18,,650,18,,286,382,
20 153,San Gabriel Mixtepec,1272,1250,22,,215,44,,103,156,
20 154,San Ildefonso Amatlán,668,652,16,,1090,6,1,1030,66,1
20 155,San Ildefonso Sola,259,241,18,,4700,58,18,4737,21,18
20 156,San Ildefonso Villa Alta,1097,1089,7,1,569,27,,376,220,
20 157,San Jacinto Amilpas,4776,4749,9,18,1215,47,,642,620,
20 158,San Jacinto Tlacotepec,596,582,14,,424,27,,383,68,
20 159,San Jerónimo Coatlán,1262,1179,83,,665,147,,525,287,
20 160,San Jerónimo Silacayoapilla,451,445,6,,325,166,,357,134,
20 161,San Jerónimo Sosola,812,784,28,,426,27,,282,171,
20 162,San Jerónimo Taviche,491,474,17,,741,34,,732,43,
20 163,San Jerónimo Tecóatl,453,447,6,,447,11,,381,77,
20 550,San Jerónimo Tlacochahuaya,1563,1531,32,,2984,96,1,2428,652,1
20 164,San Jorge Nuchita,775,764,11,,460,100,,182,378,
20 165,San José Ayuquila,458,450,8,,266,6,,238,34,
20 166,San José Chiltepec,3081,3029,51,1,645,521,,267,899,
20 167,San José del Peñasco,560,543,17,,470,424,,204,690,
20 072,San José del Progreso,2099,2073,26,,1547,3286,,1793,3040,
20 168,San José Estancia Grande,272,252,20,,142,2,,111,33,
20 169,San José Independencia,1166,1096,70,,473,7,,437,43,
20 170,San José Lachiguiri,894,851,43,,1164,54,1,1212,6,1
20 171,San José Tenango,4833,4263,570,,391,3,,227,167,
20 172,San Juan Achiutla,144,142,2,,624,211,,592,243,
20 173,San Juan Atepec,480,478,2,,3049,52,,2674,427,
20 175,San Juan Bautista Atatlahuca,394,385,9,,1585,202,,1690,97,
20 176,San Juan Bautista Coixtlahuaca,835,787,48,,404,5,,382,27,
20 177,San Juan Bautista Cuicatlán,3101,3070,31,,726,16,,661,81,
20 178,San Juan Bautista Guelache,1787,1778,9,,158,3,,137,24,
20 179,San Juan Bautista Jayacatlán,409,402,7,,473,73,,19,527,
20 180,San Juan Bautista Lo de Soto,742,730,12,,333,40,,341,32,
20 181,San Juan Bautista Suchitepec,161,157,4,,44197,2811,9,44916,2092,9
20 183,San Juan Bautista Tlachichilco,373,371,2,,2156,232,,2162,226,
20 182,San Juan Bautista Tlacoatzintepec,546,536,10,,170,1,,158,13,
20 184,San Juan Bautista Tuxtepec,47017,46554,454,9,472,49,,248,273,
20 559,San Juan Bautista Valle Nacional,5948,5858,90,,2332,246,,2411,167,
20 185,San Juan Cacahuatepec,2388,2350,38,,654,43,,166,531,
20 191,San Juan Chicomezúchil,92,92,,,5164,979,2,4503,1640,2
20 192,San Juan Chilateca,451,451,,,92,,,87,5,
20 186,San Juan Cieneguilla,171,170,1,,437,14,,431,20,
20 187,San Juan Coatzóspam,521,502,19,,726,5,,655,76,
20 188,San Juan Colorado,2578,2425,153,,442,,,438,4,
20 189,San Juan Comaltepec,697,627,70,,278,113,,201,190,
20 190,San Juan Cotzocón,6145,5990,153,2,135,,,131,4,
20 206,San Juan de los Cués,721,704,17,,923,64,,904,83,
20 193,San Juan del Estado,731,725,6,,8133,913,1,7830,1216,1
20 194,San Juan del Río,442,440,2,,125,17,1,104,38,1
20 195,San Juan Diuxi,391,384,7,,1064,6,1,799,271,1
20 196,San Juan Evangelista Analco,135,135,,,557,3,,518,42,
20 197,San Juan Guelavía,987,975,12,,1058,25,9,941,142,9
20 198,San Juan Guichicovi,9047,8794,252,1,648,182,,271,559,
20 199,San Juan Ihualtepec,143,140,2,1,218,1,,202,17,
20 200,San Juan Juquila Mixes,1071,1055,15,1,3795,684,1,2539,1940,1
20 201,San Juan Juquila Vijanos,560,552,8,,698,23,,658,63,
20 202,San Juan Lachao,1092,1062,21,9,4458,557,1,3098,1917,1
20 203,San Juan Lachigalla,830,813,17,,2174,161,,931,1404,
20 204,San Juan Lajarcia,219,216,3,,200,,,185,15,
20 205,San Juan Lalana,4480,4293,186,1,1637,39,,157,1519,
20 207,San Juan Mazatlán,5016,4828,187,1,750,12,,477,285,
20 208,San Juan Mixtepec,2335,2248,87,,759,72,,46,785,
20 209,San Juan Mixtepec.,200,197,3,,864,14,,617,261,
20 210,San Juan Ñumí,1676,1630,46,,541,6,,483,64,
20 211,San Juan Ozolotepec,762,719,43,,233,3,,126,110,
20 212,San Juan Petlapa,831,817,14,,330,1,,329,2,
20 213,San Juan Quiahije,878,856,22,,448,487,,63,872,
20 214,San Juan Quiotepec,547,540,7,,164,2,,2,164,
20 215,San Juan Sayultepec,236,231,5,,722,32,,685,69,
20 216,San Juan Tabaá,331,331,,,813,18,,656,175,
20 217,San Juan Tamazola,935,835,100,,414,17,,334,97,
20 218,San Juan Teita,166,162,4,,448,8,,442,14,
20 219,San Juan Teitipac,754,747,7,,132,,,132,,
20 220,San Juan Tepeuxila,831,817,14,,157,35,,148,44,
20 221,San Juan Teposcolula,431,415,16,,1196,444,,1397,243,
20 222,San Juan Yaeé,456,449,7,,822,23,,746,99,
20 223,San Juan Yatzona,132,132,,,4482,484,3,4701,265,3
20 224,San Juan Yucuita,192,191,1,,179,21,,143,57,
20 225,San Lorenzo,1640,1543,97,,1563,81,,97,1547,
20 226,San Lorenzo Albarradas,845,834,11,,284,2,,278,8,
20 227,San Lorenzo Cacaotepec,4969,4907,59,3,762,40,,638,164,
20 228,San Lorenzo Cuaunecuiltitla,200,199,1,,4373,1010,,1258,4125,
20 229,San Lorenzo Texmelúcan,1644,1597,47,,439,2,,437,4,
20 230,San Lorenzo Victoria,286,284,2,,1682,280,,1296,666,
20 231,San Lucas Camotlán,802,725,77,,982,110,,701,391,
20 232,San Lucas Ojitlán,5383,5089,294,,334,6,,17,323,
20 233,San Lucas Quiaviní,441,439,2,,446,2,,402,46,
20 234,San Lucas Zoquiápam,1962,1877,85,,244,8,,93,159,
20 235,San Luis Amatlán,1092,1070,22,,269,75,,92,252,
20 236,San Marcial Ozolotepec,340,293,47,,398,210,,26,582,
20 237,San Marcos Arteaga,448,447,1,,319,2,,253,68,
20 238,San Martín de los Cansecos,252,248,4,,2288,7,,1447,848,
20 239,San Martín Huamelúlpam,344,336,8,,442,33,,286,189,
20 240,San Martín Itunyoso,608,598,10,,1029,18,,955,92,
20 241,San Martín Lachilá,321,317,4,,185,171,,298,58,
20 242,San Martín Peras,2295,2221,74,,178,,,172,6,
20 243,San Martín Tilcajete,475,472,3,,417,1,,417,1,
20 244,San Martín Toxpalan,1047,1024,23,,1470,2397,,2833,1034,
20 245,San Martín Zacatepec,356,355,1,,915,61,,825,151,
20 246,San Mateo Cajonos,178,178,,,374,6,,206,174,
20 248,San Mateo del Mar,3867,3255,612,,275,26,,255,46,
20 250,San Mateo Etlatongo,380,380,,,595,19,,157,457,
20 251,San Mateo Nejápam,301,297,4,,537,103,,159,481,
20 252,San Mateo Peñasco,614,588,26,,817,4,,449,372,
20 253,San Mateo Piñas,640,526,114,,490,10,,373,127,
20 254,San Mateo Río Hondo,821,783,38,,68,,,64,4,
20 255,San Mateo Sindihui,500,497,3,,328,2,,307,23,
20 256,San Mateo Tlapiltepec,68,65,3,,245,5,,199,51,
20 249,San Mateo Yoloxochitlán,976,954,22,,512,14,,456,70,
20 566,San Mateo Yucutindoo,899,874,25,,568,4,,521,51,
20 257,San Melchor Betaza,330,326,4,,1384,197,,1059,521,1
20 258,San Miguel Achiutla,250,242,8,,287,3,,241,49,
20 259,San Miguel Ahuehuetitlán,526,520,6,,844,19,,427,436,
20 260,San Miguel Aloápam,572,569,3,,548,80,,369,259,
20 261,San Miguel Amatitlán,1581,1546,35,,1528,332,161,1726,134,161
20 262,San Miguel Amatlán,290,287,3,,2302,66,3,1259,1109,3
20 264,San Miguel Chicahua,628,596,32,,75,1,,61,15,
20 265,San Miguel Chimalapa,2021,1786,74,161,292,13,,257,48,
20 263,San Miguel Coatlán,863,834,29,,1272,42,,457,857,
20 266,San Miguel del Puerto,2371,2238,130,3,286,103,,23,366,
20 267,San Miguel del Río,76,75,1,,605,18,,45,578,
20 268,San Miguel Ejutla,305,300,5,,1211,15,,1096,130,
20 269,San Miguel el Grande,1314,1253,61,,760,115,,157,718,
20 270,San Miguel Huautla,389,364,25,,243,108,,10,341,
20 271,San Miguel Mixtepec,623,587,36,,1982,58,,1974,66,
20 272,San Miguel Panixtlahuaca,1226,1195,31,,214,4,,101,117,
20 273,San Miguel Peras,875,823,52,,3031,186,1,2079,1138,1
20 274,San Miguel Piedras,351,335,16,,8088,2297,3,5646,4739,3
20 275,San Miguel Quetzaltepec,2040,1962,78,,640,24,,146,517,1
20 276,San Miguel Santa Flor,218,211,7,,703,2,,701,4,
20 278,San Miguel Soyaltepec,10388,10154,231,3,115,1,,109,7,
20 279,San Miguel Suchixtepec,664,655,9,,214,12,,211,15,
20 281,San Miguel Tecomatlán,116,115,1,,312,6,,299,19,
20 282,San Miguel Tenango,226,215,11,,661,27,,407,281,
20 283,San Miguel Tequixtepec,318,316,2,,888,128,,839,177,
20 284,San Miguel Tilquiápam,688,662,26,,871,35,,826,80,
20 285,San Miguel Tlacamama,1016,990,26,,100,3,,100,3,
20 286,San Miguel Tlacotepec,906,889,17,,175,,,160,15,
20 287,San Miguel Tulancingo,103,102,1,,361,13,,313,61,
20 288,San Miguel Yotao,175,175,,,261,8,,253,16,
20 289,San Nicolás,374,369,5,,1092,9,1,802,299,1
20 290,San Nicolás Hidalgo,269,267,2,,258,87,,20,325,
20 291,San Pablo Coatlán,1102,1072,30,,4774,254,16,4739,289,16
20 292,San Pablo Cuatro Venados,345,336,9,,1706,195,,1498,403,
20 293,San Pablo Etla,5044,5005,23,16,2648,31,2,2460,219,2
20 294,San Pablo Huitzo,1901,1882,19,,304,2,,300,6,
20 295,San Pablo Huixtepec,2681,2649,30,2,538,70,,81,527,
20 296,San Pablo Macuiltianguis,306,305,1,,3009,601,,3258,352,
20 297,San Pablo Tijaltepec,608,537,71,,321,1,,317,5,
20 298,San Pablo Villa de Mitla,3610,3567,43,,1743,127,,1153,717,
20 299,San Pablo Yaganiza,322,321,1,,446,8,,432,22,
20 300,San Pedro Amuzgos,1870,1808,62,,1018,100,,946,172,
20 301,San Pedro Apóstol,454,446,8,,359,1,,345,15,
20 302,San Pedro Atoyac,1118,1086,32,,199,32,,98,133,
20 303,San Pedro Cajonos,360,360,,,1397,35,,1392,40,
20 305,San Pedro Comitancillo,1432,1412,20,,969,29,1,731,267,1
20 304,San Pedro Coxcaltepec Cántaros,231,228,3,,2790,302,,58,3032,2
20 306,San Pedro el Alto,999,942,56,1,839,30,,832,37,
20 307,San Pedro Huamelula,3092,2981,111,,2155,673,,992,1836,
20 308,San Pedro Huilotepec,869,851,18,,1929,1760,3,2860,829,3
20 309,San Pedro Ixcatlán,2828,2735,93,,140,21,,158,3,
20 310,San Pedro Ixtlahuaca,3692,3422,268,2,1486,1193,7,2365,314,7
20 311,San Pedro Jaltepetongo,161,160,1,,267,2,,124,145,
20 312,San Pedro Jicayán,2686,2612,67,7,486,1,,456,31,
20 313,San Pedro Jocotipac,269,264,5,,332,158,,55,435,
20 314,San Pedro Juchatengo,487,483,4,,217,,,88,129,
20 315,San Pedro Mártir,490,486,4,,336,95,,131,300,
20 316,San Pedro Mártir Quiechapa,217,210,7,,13560,221,3,13403,378,3
20 317,San Pedro Mártir Yucuxaco,431,412,19,,318,3,,298,23,
20 318,San Pedro Mixtepec,13784,13543,238,3,216,10,,163,63,
20 319,San Pedro Mixtepec,321,313,8,,194,6,,175,25,
20 320,San Pedro Molinos,226,223,3,,226,19,,148,97,
20 321,San Pedro Nopala,200,198,2,,547,9,,411,145,
20 322,San Pedro Ocopetatillo,245,242,3,,11491,1171,,11301,1361,
20 323,San Pedro Ocotepec,556,542,14,,2761,335,,2644,452,
20 324,San Pedro Pochutla,12662,12244,418,,1023,185,,474,734,
20 325,San Pedro Quiatoni,3096,2974,122,,4047,432,,4291,188,
20 326,San Pedro Sochiápam,1208,1163,45,,293,66,,180,179,
20 327,San Pedro Tapanatepec,4479,4392,87,,331,16,,189,158,
20 328,San Pedro Taviche,359,354,5,,1154,15,1,400,769,1
20 329,San Pedro Teozacoalco,347,334,13,,322,9,,198,133,
20 330,San Pedro Teutila,1170,1135,34,1,131,,,121,10,
20 331,San Pedro Tidaá,331,324,7,,938,4,,853,89,
20 332,San Pedro Topiltepec,131,130,1,,13594,1135,2,13131,1598,2
20 333,San Pedro Totolápam,942,929,13,,246,6,,217,35,
20 337,San Pedro y San Pablo Ayutla,1588,1520,68,,491,1,,445,47,
20 339,San Pedro y San Pablo Teposcolula,1224,1201,23,,1454,134,,1280,308,
20 340,San Pedro y San Pablo Tequixtepec,613,592,21,,2358,325,,2529,154,
20 335,San Pedro Yaneri,252,250,2,,1179,45,,994,230,
20 336,San Pedro Yólox,492,488,4,,586,27,,554,59,
20 341,San Pedro Yucunama,73,68,5,,70,3,,63,10,
20 342,San Raymundo Jalpan,1291,1280,11,,1210,81,,1224,67,
20 343,San Sebastián Abasolo,568,557,10,1,545,22,1,332,235,1
20 344,San Sebastián Coatlán,808,792,16,,651,157,,560,248,
20 345,San Sebastián Ixcapa,1210,1192,18,,1034,176,,1025,185,
20 346,San Sebastián Nicananduta,481,477,4,,481,,,469,12,
20 347,San Sebastián Río Hondo,1007,982,18,7,966,34,7,120,879,8
20 348,San Sebastián Tecomaxtlahuaca,2269,2207,62,,2167,101,1,1845,423,1
20 349,San Sebastián Teitipac,635,620,15,,507,128,,384,251,
20 350,San Sebastián Tutla,5027,5023,2,2,4987,38,2,5011,14,2
20 351,San Simón Almolongas,838,816,22,,818,20,,449,389,
20 352,San Simón Zahuatlán,596,586,10,,548,48,,445,151,
20 534,San Vicente Coatlán,846,833,13,,597,21,,380,238,
20 535,San Vicente Lachixío,713,702,11,,137,4,,72,69,
20 536,San Vicente Nuñú,151,150,1,,231,2,,130,103,
20 353,Santa Ana,618,604,14,,542,59,,566,35,
20 354,Santa Ana Ateixtlahuaca,141,136,5,,269,,,128,141,
20 355,Santa Ana Cuauhtémoc,233,228,5,,583,32,,450,165,
20 356,Santa Ana del Valle,601,597,4,,233,,,114,119,
20 357,Santa Ana Tavela,269,261,8,,1052,118,,419,751,
20 358,Santa Ana Tlapacoyan,615,602,13,,249,3,,160,92,
20 359,Santa Ana Yareni,233,232,1,,426,8,,397,37,
20 360,Santa Ana Zegache,1170,1152,18,,765,7,,589,183,
20 361,Santa Catalina Quierí,252,238,14,,4117,136,1,3102,1151,1
20 362,Santa Catarina Cuixtla,434,420,14,,354,18,1,253,119,1
20 363,Santa Catarina Ixtepeji,772,765,7,,871,26,,635,262,
20 364,Santa Catarina Juquila,4254,4158,95,1,817,319,1,1035,101,1
20 365,Santa Catarina Lachatao,373,366,7,,477,73,,190,360,
20 366,Santa Catarina Loxicha,897,863,34,,630,25,,581,74,
20 367,Santa Catarina Mechoacán,1137,1114,22,1,202,5,,73,134,
20 368,Santa Catarina Minas,550,545,5,,337,14,,161,190,
20 369,Santa Catarina Quiané,655,648,7,,306,137,,165,277,1
20 074,Santa Catarina Quioquitani,128,127,1,,124,2,,123,3,
20 370,Santa Catarina Tayata,207,202,5,,384,38,,234,188,
20 371,Santa Catarina Ticuá,351,339,12,,3375,187,4,3525,37,4
20 372,Santa Catarina Yosonotú,443,433,10,,99,1,,89,11,
20 373,Santa Catarina Zapoquila,126,121,5,,2355,629,,829,2155,
20 374,Santa Cruz Acatepec,422,410,12,,874,95,,549,420,
20 375,Santa Cruz Amilpas,3566,3551,11,4,768,13,1,186,595,1
20 376,Santa Cruz de Bravo,100,99,1,,621,23,,300,344,
20 377,Santa Cruz Itundujia,2984,2785,199,,786,4,,742,48,
20 378,Santa Cruz Mixtepec,969,949,20,,347,4,,85,266,
20 379,Santa Cruz Nundaco,782,761,21,,175,2,,70,107,
20 380,Santa Cruz Papalutla,644,642,2,,1093,43,,717,419,
20 381,Santa Cruz Tacache de Mina,790,788,2,,22437,4868,143,26532,773,143
20 382,Santa Cruz Tacahua,351,342,9,,4254,208,,1012,3450,
20 383,Santa Cruz Tayata,177,175,2,,812,26,,788,50,
20 384,Santa Cruz Xitla,1136,1120,16,,540,102,,189,453,
20 385,Santa Cruz Xoxocotlán,27448,27055,250,143,231,,,225,6,
20 386,Santa Cruz Zenzontepec,4462,4273,189,,13887,249,82,14081,55,82
20 387,Santa Gertrudis,838,836,2,,795,24,,108,711,
20 569,Santa Inés de Zaragoza,478,469,9,,1405,463,1,228,1640,1
20 388,Santa Inés del Monte,642,608,34,,989,38,,576,451,
20 389,Santa Inés Yatzeche,231,230,1,,653,153,,554,252,
20 390,Santa Lucía del Camino,14218,14112,24,82,427,76,,47,456,
20 391,Santa Lucía Miahuatlán,819,773,46,,769,161,1,573,357,1
20 392,Santa Lucía Monteverde,1869,1752,116,1,9262,1251,1,7018,3495,1
20 393,Santa Lucía Ocotlán,1027,1019,8,,1327,37,,914,450,
20 047,Santa Magdalena Jicotlán,30,30,,,9482,1831,31,10772,541,31
20 394,Santa María Alotepec,806,786,20,,506,21,,488,39,
20 395,Santa María Apazco,503,473,30,,6559,475,3,6642,392,3
20 399,Santa María Atzompa,11344,11093,220,31,321,5,,285,41,
20 400,Santa María Camotlán,527,514,13,,1026,39,8,1039,26,8
20 404,Santa María Chachoápam,247,247,,,245,2,,207,40,
20 406,Santa María Chilchotla,5610,5244,365,1,552,7,,549,10,
20 407,Santa María Chimalapa,2640,1994,66,580,1916,3693,1,1075,4533,2
20 401,Santa María Colotepec,7037,6823,211,3,1626,434,580,1715,345,580
